CET,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPa,MeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibilityKm,MeanVisibilityKm,MinVisibilitykm,MaxWindSpeedKmh,MeanWindSpeedKmh,MaxGustSpeedKmh,Precipitationmm,CloudCover,Events,WindDirDegrees
1/1/1997,7,4,2,5,3,2,100,95,76,1010,1008,1004,10,9,4,13,6,53,0,6,Snow,229
1/2/1997,7,3,0,6,3,0,100,92,71,1007,1003,997,10,9,4,26,8,47,0,5,Rain,143
1/3/1997,5,3,2,5,1,-1,100,85,70,1005,999,996,10,10,7,27,19,42,0,6,Snow,256
1/4/1997,7,3,-1,-2,-3,-4,86,63,49,1012,1010,1005,10,10,10,27,19,40,0,2,Snow,284
1/5/1997,2,0,-1,2,0,-3,100,95,86,1012,1008,1005,10,5,1,14,6,64,0,7,Snow,2
1/6/1997,7,3,1,2,-1,-3,100,82,57,1014,1010,1008,10,10,10,11,5,52,0,4,Rain,64
1/7/1997,2,0,-2,1,-1,-3,100,93,75,1016,1014,1009,10,7,0,6,2,47,0,7,Snow,43
1/8/1997,8,4,1,7,4,1,100,96,87,1015,1005,1003,10,8,4,26,8,27,0,7,Rain,273
1/9/1997,12,10,8,8,3,0,100,65,44,1015,1008,1003,10,10,10,48,23,48,0,4,Rain,274
1/10/1997,13,8,3,8,5,1,93,83,63,1021,1018,1016,10,10,10,13,5,29,0,5,Rain,100
1/11/1997,16,10,5,10,7,5,100,90,67,1024,1022,1021,10,6,0,11,2,87,0,3,Snow,344
1/12/1997,17,10,3,8,6,3,100,84,55,1024,1022,1020,10,10,10,14,8,52,0,1,Snow,345
13/1/1997,15,9,4,9,4,-1,100,75,38,1022,1021,1019,10,9,3,11,2,52,0,4,Snow,128
14/1/1997,11,6,0,4,2,0,100,81,50,1022,1020,1019,10,9,1,14,2,35,0,4,Rain,35
15/1/1997,11,8,5,7,5,4,100,83,62,1021,1019,1018,10,10,8,10,3,60,0,6,Rain,16
16/1/1997,12,9,6,8,7,6,100,89,72,1019,1017,1015,10,10,10,24,5,29,0,6,Rain,63
17/1/1997,13,9,5,9,5,1,100,78,47,1022,1018,1015,10,10,7,27,13,45,0,4,Rain,267
18/1/1997,6,3,2,6,4,2,100,98,93,1022,1019,1015,10,7,3,8,2,42,0,6,Rain,357
19/1/1997,9,7,6,7,6,5,100,97,87,1015,1011,1004,10,6,2,14,8,35,0,4,Rain,99
20/1/1997,9,7,5,9,7,5,100,100,100,1008,1005,1003,10,8,3,13,5,35,0,5,Rain,320
21/1/1997,10,8,6,7,6,5,100,89,71,1013,1011,1009,10,9,4,8,3,47,0,5,Rain,65
22/1/1997,13,8,3,8,5,3,100,85,58,1018,1016,1015,10,9,5,11,3,39,0,5,Rain,33
23/1/1997,12,10,9,10,9,9,100,96,82,1018,1014,1013,10,8,4,10,5,29,0,7,Rain,29
24/1/1997,13,10,7,9,8,7,100,90,67,1025,1021,1018,10,10,7,11,6,27,0,5,Rain,357
25/1/1997,12,9,7,9,7,6,100,89,76,1025,1024,1023,10,10,10,10,3,34,0,6,Snow,358
26/1/1997,14,9,5,8,6,5,100,83,55,1026,1025,1024,10,10,9,6,2,45,0,2,Rain,180
27/1/1997,15,8,2,8,6,2,100,84,55,1028,1027,1026,10,7,0,10,2,32,0,6,Snow,5
28/1/1997,14,10,6,7,4,2,93,74,48,1028,1027,1024,10,9,5,11,6,32,0,3,Snow,1
29/1/1997,11,8,5,7,6,4,100,83,67,1029,1027,1026,10,10,7,26,6,35,0,7,Rain,140
30/1/1997,15,11,8,8,7,5,100,80,59,1031,1030,1029,10,10,8,11,6,58,0,5,Rain,38
31/1/1997,14,9,4,9,7,4,100,87,67,1030,1029,1027,10,9,7,6,0,55,0,3,Rain,34
2/1/1997,12,9,6,9,7,6,100,95,77,1029,1028,1027,8,3,0,8,0,50,0,3,Snow,0
2/2/1997,13,9,5,9,7,5,100,93,72,1028,1026,1025,5,2,0,10,0,34,0,5,Snow,155
2/3/1997,13,10,7,9,6,1,100,76,47,1026,1025,1024,10,7,0,10,3,52,0,4,Snow,72
2/4/1997,12,6,0,3,2,0,100,71,51,1028,1027,1026,10,10,10,11,5,32,0,1,Rain,239
2/5/1997,14,7,1,5,3,1,100,79,48,1031,1029,1028,9,9,7,8,5,26,0,2,Rain,352
