item,CFeature0,CFeature1,CFeature2,CFeature3,CFeature4,CFeature5,CFeature6,CFeature7,CFeature8,CFeature9,CFeature10,CFeature11,CFeature12,CFeature13,CFeature14,CFeature15
CC0101EN,0.009656905,-0.0052381186,-0.0040980084,0.016302861,-0.005273606,-0.00036093185,-0.015081371,-0.012228849,0.015685743,0.008401358,-0.035495345,0.009381307,-0.03255956,-0.0072919675,0.0009655618,-0.0062176026
CL0101EN,-0.008610552,0.02804066,0.02189897,-0.0014653172,0.006899842,-0.01798075,0.010898649,-0.03761044,-0.019396672,-0.025681913,-0.0006202129,0.038802754,0.00019615983,-0.045342933,0.012862647,0.019429406
ML0120ENv3,0.027438855,-0.027648883,-0.007484106,-0.059450775,0.0039719683,0.020495774,-0.012695072,0.036138263,0.01996507,0.018686274,-0.010450379,-0.050011102,0.013844542,-0.04445403,-0.0014796761,-0.0075588813
BD0211EN,0.020162847,-0.011971799,-0.003714157,-0.015547965,-0.007540023,0.014846904,-0.005699841,-0.0060682236,-0.0057918397,-0.023035705,0.015998555,-0.02348004,0.015469028,0.022220554,-0.023115093,-0.0017846136
DS0101EN,0.006398517,0.00049161847,0.005639624,0.009638563,-0.0054873684,-0.0005897415,-0.010015093,-0.001513755,-0.017598072,0.0035902918,0.016798958,0.002732148,0.0051621804,0.015030547,-0.0008766575,-0.0212826
ST0101EN,0.011418636,0.0016784337,-0.00245407,0.018979544,-0.018471383,-0.010494579,-0.010446868,0.003091192,-0.004670435,0.016963216,-0.0066410317,0.015514748,-0.025659027,-0.01950028,-0.025636042,-0.011817061
DS0301EN,0.019707946,0.009190688,0.01534602,0.0025158713,-0.00052276097,0.007861486,0.0042955917,0.008388813,-0.0009308961,-0.02542727,0.021304237,0.0155801885,-0.0032416396,0.01081295,2.270873e-05,0.015307039
DS0105EN,-0.013659061,-0.017269641,0.0116207935,0.007102347,0.0058203214,0.0051974393,0.011615759,-0.0043655816,-0.0030614384,-0.019932207,-0.00598706,0.014930202,-0.010595225,-0.017120259,0.0011790853,-0.008879717
BD0141EN,0.0075668036,-0.029326774,0.0009190821,0.030705485,-0.009864035,0.0008508274,0.0024022183,0.003106865,-0.01984616,0.0132429525,0.0101342155,0.016171254,-0.019713905,-0.005965499,-0.014285194,0.0067987894
CO0201EN,-0.032723457,0.0060786265,-0.007805779,0.00973308,-0.003651919,-0.026303882,-0.0030802398,0.023441995,-0.018411415,0.005599598,-0.018589204,-0.007688018,-0.012449722,-0.033381518,0.017793968,-0.00044774145
CB0103EN,0.00396668,-0.006921534,-0.022755297,-0.027306499,-0.0104933465,-0.002842869,-0.0031311398,-0.015183781,0.0006755736,0.008272654,0.0010516925,-0.022162009,-0.015534829,-0.006561479,-0.018953467,0.0056651416
DV0101EN,-0.008714592,-0.025374549,0.02540079,-0.014793979,0.0004189576,-0.0019073272,-0.008011177,0.004992036,-0.007669196,-0.0031589402,-0.0123541625,-0.004894283,-0.002869577,-0.0006499983,-0.019772913,-0.0133630065
DS0103EN,-0.0111811,0.020851202,0.009963247,-0.008938523,0.0034349265,0.00013285797,-0.0069095357,0.032739334,0.0083175115,0.012742759,-0.022279946,0.0105561735,-0.003051467,-0.041765384,0.00950696,0.03415322
BD0123EN,0.02278207,-0.008358633,-0.0022804157,0.027305732,0.0032719106,-0.0007913334,0.006006814,0.0066383504,-0.0025190539,0.01642154,-0.054735504,0.015871866,0.015215329,-0.012533888,-0.009105131,-0.017293591
BC0101EN,-0.00047549186,0.0020268108,-0.017913383,0.015388344,-0.014933202,-0.0073027853,0.0040132357,0.00063544704,-0.020777453,-0.008927808,0.024430325,0.013918779,0.0001990836,0.011250283,-0.006018645,0.0073563727
TA0105EN,0.023861831,-0.014292627,-0.0060133724,0.039462805,0.028872227,-0.0075311027,0.014622163,-0.006015929,0.0032462163,0.009475984,0.011966763,-0.028835936,0.0035727494,0.024359696,-0.0047034384,0.024138372
ML0151EN,-0.0078777475,-0.006664615,0.017648442,0.027646396,-0.024881003,-0.018113501,-0.002366395,0.011941826,-0.02174197,-0.005995289,0.0040280605,-0.044182662,0.0136853065,0.036175635,0.0059855487,0.021782815
