year,weekofyear,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
1990,18,12.42,297.5728571,297.74285710000004,292.4142857,299.8,295.9,32.0,73.36571429,12.42,14.01285714,2.628571429,25.44285714,6.9,29.4,20.0,16.0,4
1990,19,22.82,298.21142860000003,298.4428571,293.95142860000004,300.9,296.4,17.94,77.36857143,22.82,15.37285714,2.371428571,26.71428571,6.371428571,31.7,22.2,8.6,5
1990,20,34.54,298.7814286,298.87857139999994,295.4342857,300.5,297.3,26.1,82.05285714,34.54,16.84857143,2.3,26.71428571,6.485714286,32.2,22.8,41.4,4
1990,21,15.36,298.9871429,299.22857139999996,295.31,301.4,297.0,13.9,80.33714286,15.36,16.67285714,2.4285714290000002,27.47142857,6.771428571,33.3,23.3,4.0,3
1990,22,7.52,299.5185714,299.6642857,295.82142860000005,301.9,297.5,12.2,80.46,7.52,17.21,3.0142857139999997,28.94285714,9.371428571000001,35.0,23.9,5.8,6
1990,23,9.58,299.63,299.76428569999996,295.8514286,302.4,298.1,26.49,79.89142857,9.58,17.21285714,2.1,28.11428571,6.9428571429999995,34.4,23.9,39.1,2
1990,24,3.48,299.20714289999995,299.2214286,295.86571430000004,301.3,297.7,38.6,82.0,3.48,17.23428571,2.042857143,27.41428571,6.771428571,32.2,23.3,29.7,4
1990,25,151.12,299.59142860000003,299.5285714,296.5314286,300.6,298.4,30.0,83.37571429,151.12,17.97714286,1.571428571,28.37142857,7.6857142860000005,33.9,22.8,21.1,5
1990,26,19.32,299.5785714,299.5571429,296.37857139999994,302.1,297.7,37.51,82.76857143,19.32,17.79,1.885714286,28.32857143,7.385714286,33.9,22.8,21.1,10
1990,27,14.41,300.1542857,300.2785714,296.65142860000003,302.3,298.7,28.4,81.28142857,14.41,18.07142857,2.014285714,28.32857143,6.514285714,33.9,24.4,1.1,6
1990,28,22.27,299.5128571,299.59285710000006,296.0414286,301.8,298.0,43.72,81.46714286,22.27,17.41857143,2.1571428569999997,27.55714286,7.157142857,31.7,21.7,63.7,8
1990,29,59.17,299.66714289999993,299.75,296.3342857,302.0,297.3,40.9,82.14428571,59.17,17.73714286,2.414285714,28.12857143,6.9,32.8,23.9,12.2,2
1990,30,16.48,299.55857139999995,299.6357143,295.96,301.8,297.1,42.53,80.74285714,16.48,17.34142857,2.0714285709999998,28.11428571,6.357142857,31.7,22.8,32.6,6
1990,31,32.66,299.86285710000004,299.95,296.17285710000004,303.0,298.3,34.6,80.58428571,32.66,17.59428571,2.585714286,28.24285714,8.085714286,34.4,22.8,37.6,17
1990,32,28.8,300.39142860000004,300.47857139999996,296.53285710000006,302.5,298.8,20.0,79.65,28.8,17.95,2.328571429,28.2,7.5571428570000005,33.3,23.3,11.4,23
1990,33,90.75,299.9585714,299.95714289999995,297.0357143,302.6,298.5,101.9,84.17857143,90.75,18.51571429,1.857142857,28.04285714,6.6857142860000005,32.8,22.8,44.7,13
1990,34,32.4,300.33285710000007,300.4142857,296.72857139999996,302.5,298.1,25.9,80.94714286,32.4,18.17428571,2.485714286,28.34285714,7.014285714,33.3,23.3,5.4,21
1990,35,40.94,300.11857139999995,300.2214286,297.01714289999995,302.2,298.7,39.8,83.34857143,40.94,18.51571429,1.9,28.65714286,6.528571428999999,32.2,24.4,13.7,28
1990,36,28.86,300.53,300.6357143,296.1171429,303.8,298.0,30.4,77.17285714,28.86,17.56,3.471428571,28.32857143,7.614285714,32.8,23.3,14.2,24
1990,37,64.56,300.6742857,300.79285710000005,297.1928571,302.9,299.0,24.18,81.55142857,64.56,18.77714286,2.9,28.68571429,8.057142857,33.9,24.4,25.9,20
