dteday,cnt
2011-01-01,16
2011-01-01,40
2011-01-01,32
2011-01-01,13
2011-01-01,1
2011-01-01,1
2011-01-01,2
2011-01-01,3
2011-01-01,8
2011-01-01,14
2011-01-01,36
2011-01-01,56
2011-01-01,84
2011-01-01,94
2011-01-01,106
2011-01-01,110
2011-01-01,93
2011-01-01,67
2011-01-01,35
2011-01-01,37
2011-01-01,36
2011-01-01,34
2011-01-01,28
2011-01-01,39
2011-01-02,17
2011-01-02,17
2011-01-02,9
2011-01-02,6
2011-01-02,3
2011-01-02,2
2011-01-02,1
2011-01-02,8
2011-01-02,20
2011-01-02,53
2011-01-02,70
2011-01-02,93
2011-01-02,75
2011-01-02,59
2011-01-02,74
2011-01-02,76
2011-01-02,65
2011-01-02,53
2011-01-02,30
2011-01-02,22
2011-01-02,31
2011-01-02,9
2011-01-02,8
2011-01-03,5
2011-01-03,2
2011-01-03,1
2011-01-03,3
2011-01-03,30
2011-01-03,64
2011-01-03,154
2011-01-03,88
2011-01-03,44
2011-01-03,51
2011-01-03,61
2011-01-03,61
2011-01-03,77
2011-01-03,72
2011-01-03,76
2011-01-03,157
2011-01-03,157
2011-01-03,110
2011-01-03,52
2011-01-03,52
2011-01-03,20
2011-01-03,12
2011-01-04,5
2011-01-04,2
2011-01-04,1
2011-01-04,2
2011-01-04,4
2011-01-04,36
2011-01-04,94
2011-01-04,179
2011-01-04,100
2011-01-04,42
2011-01-04,57
2011-01-04,78
2011-01-04,97
2011-01-04,63
2011-01-04,65
2011-01-04,83
2011-01-04,212
2011-01-04,182
2011-01-04,112
2011-01-04,54
2011-01-04,48
2011-01-04,35
2011-01-04,11
2011-01-05,6
2011-01-05,6
2011-01-05,2
2011-01-05,2
2011-01-05,3
2011-01-05,33
2011-01-05,88
2011-01-05,195
2011-01-05,115
2011-01-05,57
2011-01-05,46
2011-01-05,79
2011-01-05,71
2011-01-05,62
2011-01-05,62
2011-01-05,89
2011-01-05,190
2011-01-05,169
2011-01-05,132
2011-01-05,89
2011-01-05,43
2011-01-05,42
2011-01-05,19
2011-01-06,11
2011-01-06,4
2011-01-06,2
2011-01-06,1
2011-01-06,4
2011-01-06,36
2011-01-06,95
2011-01-06,219
2011-01-06,122
2011-01-06,45
2011-01-06,59
2011-01-06,84
2011-01-06,67
2011-01-06,70
2011-01-06,62
2011-01-06,86
2011-01-06,172
2011-01-06,163
2011-01-06,112
2011-01-06,69
2011-01-06,48
2011-01-06,52
2011-01-06,23
2011-01-07,17
2011-01-07,7
2011-01-07,1
2011-01-07,1
2011-01-07,5
2011-01-07,34
2011-01-07,84
2011-01-07,210
2011-01-07,134
2011-01-07,63
2011-01-07,67
2011-01-07,59
2011-01-07,73
2011-01-07,50
2011-01-07,72
2011-01-07,87
2011-01-07,187
2011-01-07,123
2011-01-07,95
2011-01-07,51
2011-01-07,39
2011-01-07,36
2011-01-07,15
2011-01-08,25
2011-01-08,16
2011-01-08,16
2011-01-08,7
2011-01-08,1
2011-01-08,5
2011-01-08,2
2011-01-08,9
2011-01-08,15
2011-01-08,20
2011-01-08,61
2011-01-08,62
2011-01-08,98
2011-01-08,102
2011-01-08,95
2011-01-08,74
2011-01-08,76
2011-01-08,69
2011-01-08,55
2011-01-08,30
2011-01-08,28
2011-01-08,37
2011-01-08,34
2011-01-08,22
2011-01-09,25
2011-01-09,12
2011-01-09,11
2011-01-09,4
2011-01-09,1
2011-01-09,1
2011-01-09,1
2011-01-09,6
2011-01-09,10
2011-01-09,19
2011-01-09,49
2011-01-09,49
2011-01-09,83
2011-01-09,75
2011-01-09,72
2011-01-09,82
2011-01-09,92
2011-01-09,62
2011-01-09,48
2011-01-09,41
2011-01-09,38
2011-01-09,20
2011-01-09,15
2011-01-09,6
2011-01-10,5
2011-01-10,1
2011-01-10,3
2011-01-10,1
2011-01-10,3
2011-01-10,3
2011-01-10,31
2011-01-10,77
2011-01-10,188
2011-01-10,94
2011-01-10,31
2011-01-10,30
2011-01-10,52
2011-01-10,54
2011-01-10,47
2011-01-10,45
2011-01-10,74
2011-01-10,178
2011-01-10,155
2011-01-10,95
2011-01-10,74
2011-01-10,38
2011-01-10,24
2011-01-10,18
2011-01-11,12
2011-01-11,3
2011-01-11,3
2011-01-11,6
2011-01-11,27
2011-01-11,99
2011-01-11,217
2011-01-11,130
2011-01-11,54
2011-01-11,35
2011-01-11,57
2011-01-11,52
2011-01-11,63
2011-01-11,47
2011-01-11,76
2011-01-11,136
2011-01-11,95
2011-01-11,51
2011-01-11,32
2011-01-11,20
2011-01-11,29
2011-01-11,19
2011-01-12,7
2011-01-12,6
2011-01-12,1
2011-01-12,5
2011-01-12,16
2011-01-12,54
2011-01-12,128
2011-01-12,81
2011-01-12,39
2011-01-12,35
2011-01-12,55
2011-01-12,49
2011-01-12,44
2011-01-12,49
2011-01-12,68
2011-01-12,139
2011-01-12,137
2011-01-12,83
2011-01-12,56
2011-01-12,57
2011-01-12,33
2011-01-12,20
2011-01-13,7
2011-01-13,2
2011-01-13,2
2011-01-13,3
2011-01-13,4
2011-01-13,3
2011-01-13,28
2011-01-13,72
2011-01-13,202
2011-01-13,139
2011-01-13,38
2011-01-13,37
2011-01-13,52
2011-01-13,83
2011-01-13,42
2011-01-13,60
2011-01-13,78
2011-01-13,162
2011-01-13,144
2011-01-13,99
2011-01-13,64
2011-01-13,40
2011-01-13,30
2011-01-13,15
2011-01-14,14
2011-01-14,5
2011-01-14,1
2011-01-14,1
2011-01-14,8
2011-01-14,17
2011-01-14,70
2011-01-14,158
2011-01-14,117
2011-01-14,44
2011-01-14,53
2011-01-14,61
2011-01-14,77
2011-01-14,64
2011-01-14,68
2011-01-14,90
2011-01-14,159
2011-01-14,139
2011-01-14,92
2011-01-14,68
2011-01-14,52
2011-01-14,36
2011-01-14,27
2011-01-15,28
2011-01-15,20
2011-01-15,12
2011-01-15,8
2011-01-15,5
2011-01-15,1
2011-01-15,3
2011-01-15,10
2011-01-15,23
2011-01-15,33
2011-01-15,59
2011-01-15,72
2011-01-15,89
2011-01-15,101
2011-01-15,118
2011-01-15,129
2011-01-15,128
2011-01-15,83
2011-01-15,84
2011-01-15,74
2011-01-15,41
2011-01-15,57
2011-01-15,26
2011-01-15,44
2011-01-16,39
2011-01-16,23
2011-01-16,16
2011-01-16,15
2011-01-16,1
2011-01-16,2
2011-01-16,1
2011-01-16,3
2011-01-16,18
2011-01-16,32
2011-01-16,79
2011-01-16,93
2011-01-16,104
2011-01-16,118
2011-01-16,91
2011-01-16,113
2011-01-16,99
2011-01-16,105
2011-01-16,67
2011-01-16,61
2011-01-16,57
2011-01-16,28
2011-01-16,21
2011-01-16,18
2011-01-17,17
2011-01-17,16
2011-01-17,8
2011-01-17,2
2011-01-17,3
2011-01-17,1
2011-01-17,5
2011-01-17,13
2011-01-17,33
2011-01-17,47
2011-01-17,57
2011-01-17,64
2011-01-17,80
2011-01-17,93
2011-01-17,86
2011-01-17,93
2011-01-17,82
2011-01-17,71
2011-01-17,92
2011-01-17,60
2011-01-17,33
2011-01-17,27
2011-01-17,13
2011-01-17,4
2011-01-18,3
2011-01-18,22
2011-01-18,28
2011-01-18,35
2011-01-18,61
2011-01-18,125
2011-01-18,133
2011-01-18,99
2011-01-18,83
2011-01-18,41
2011-01-18,33
2011-01-18,20
2011-01-19,3
2011-01-19,7
2011-01-19,3
2011-01-19,2
2011-01-19,7
2011-01-19,32
2011-01-19,90
2011-01-19,197
2011-01-19,109
2011-01-19,47
2011-01-19,52
2011-01-19,70
2011-01-19,78
2011-01-19,75
2011-01-19,82
2011-01-19,104
2011-01-19,197
2011-01-19,161
2011-01-19,112
2011-01-19,76
2011-01-19,59
2011-01-19,59
2011-01-19,28
2011-01-20,13
2011-01-20,5
2011-01-20,2
2011-01-20,1
2011-01-20,1
2011-01-20,6
2011-01-20,35
2011-01-20,101
2011-01-20,249
2011-01-20,143
2011-01-20,57
2011-01-20,68
2011-01-20,84
2011-01-20,98
2011-01-20,81
2011-01-20,70
2011-01-20,91
2011-01-20,215
2011-01-20,185
2011-01-20,152
2011-01-20,126
2011-01-20,57
2011-01-20,56
2011-01-20,31
2011-01-21,21
2011-01-21,6
2011-01-21,2
2011-01-21,1
2011-01-21,1
2011-01-21,5
2011-01-21,27
2011-01-21,68
2011-01-21,217
2011-01-21,166
2011-01-21,63
2011-01-21,59
2011-01-21,78
2011-01-21,73
2011-01-21,62
2011-01-21,65
2011-01-21,97
2011-01-21,161
2011-01-21,120
2011-01-21,96
2011-01-21,53
2011-01-21,41
2011-01-21,34
2011-01-21,27
2011-01-22,13
2011-01-22,12
2011-01-22,11
2011-01-22,7
2011-01-22,3
2011-01-22,2
2011-01-22,8
2011-01-22,27
2011-01-22,40
2011-01-22,53
2011-01-22,63
2011-01-22,70
2011-01-22,84
2011-01-22,75
2011-01-22,103
2011-01-22,83
2011-01-22,67
2011-01-22,54
2011-01-22,59
2011-01-22,45
2011-01-22,39
2011-01-22,30
2011-01-22,33
2011-01-23,22
2011-01-23,13
2011-01-23,18
2011-01-23,5
2011-01-23,3
2011-01-23,1
2011-01-23,2
2011-01-23,19
2011-01-23,28
2011-01-23,58
2011-01-23,99
2011-01-23,116
2011-01-23,87
2011-01-23,110
2011-01-23,77
2011-01-23,65
2011-01-23,55
2011-01-23,49
2011-01-23,50
2011-01-23,35
2011-01-23,25
2011-01-23,28
2011-01-23,21
2011-01-24,7
2011-01-24,1
2011-01-24,1
2011-01-24,1
2011-01-24,5
2011-01-24,15
2011-01-24,84
2011-01-24,177
2011-01-24,102
2011-01-24,40
2011-01-24,46
2011-01-24,63
2011-01-24,60
2011-01-24,45
2011-01-24,57
2011-01-24,70
2011-01-24,184
2011-01-24,153
2011-01-24,106
2011-01-24,81
2011-01-24,59
2011-01-24,35
2011-01-24,24
2011-01-25,9
2011-01-25,5
2011-01-25,2
2011-01-25,1
2011-01-25,9
2011-01-25,36
2011-01-25,108
2011-01-25,238
2011-01-25,144
2011-01-25,55
2011-01-25,61
2011-01-25,106
2011-01-25,93
2011-01-25,68
2011-01-25,84
2011-01-25,116
2011-01-25,222
2011-01-25,225
2011-01-25,146
2011-01-25,119
2011-01-25,45
2011-01-25,53
2011-01-25,40
2011-01-26,17
2011-01-26,5
2011-01-26,10
2011-01-26,1
2011-01-26,8
2011-01-26,30
2011-01-26,72
2011-01-26,58
