LotArea,BldgArea,ResArea,NumBldgs,NumFloors,LotDepth,BldgDepth,BuiltFAR,ResidFAR,FacilFAR
4000.0,1692.0,1692.0,2.0,2.0,100.0,30.0,0.42,0.6,1.0
2500.0,4095.0,4095.0,1.0,3.0,100.0,65.0,1.64,3.44,4.8
2400.0,1200.0,1200.0,1.0,2.0,60.0,25.0,0.5,0.9,2.0
3822.0,1920.0,1280.0,2.0,3.0,101.0,32.0,0.5,2.43,4.8
2052.0,1600.0,1200.0,1.0,2.0,54.0,20.0,0.78,0.6,1.0
2183.0,2859.0,2859.0,1.0,2.5,96.67,54.0,1.31,0.9,2.0
5059.0,1320.0,1320.0,1.0,2.0,95.0,30.0,0.26,0.9,2.0
2200.0,1768.0,976.0,1.0,1.0,100.0,46.0,0.8,0.9,2.0
1710.0,1539.0,1188.0,1.0,2.0,95.0,33.0,0.9,0.9,2.0
1699.0,1728.0,1152.0,1.0,2.0,90.0,32.0,1.02,0.9,2.0
2500.0,2585.0,1880.0,1.0,2.0,100.0,47.0,1.03,0.6,1.0
3500.0,1870.0,1870.0,1.0,2.5,100.0,36.0,0.53,0.6,1.0
1900.0,1980.0,1440.0,1.0,2.0,100.0,36.0,1.04,0.9,2.0
2025.0,5558.0,3724.0,1.0,3.0,77.25,74.92,2.74,3.0,3.0
4257.0,2484.0,2484.0,1.0,2.0,100.0,46.33,0.58,0.9,2.0
2090.0,1320.0,1320.0,1.0,2.0,104.5,33.0,0.63,3.44,4.8
2500.0,874.0,524.0,1.0,1.0,100.0,42.0,0.35,2.43,4.8
2720.0,1820.0,1280.0,1.0,2.0,109.98,35.0,0.67,0.9,2.0
1766.0,2208.0,2208.0,1.0,3.0,75.17,48.0,1.25,1.25,2.0
1638.0,1296.0,1296.0,1.0,2.0,91.0,36.0,0.79,1.25,2.0
2500.0,1615.0,1615.0,1.0,2.0,100.0,55.0,0.65,0.6,1.0
1800.0,2325.0,2325.0,1.0,3.0,90.0,38.75,1.29,1.25,2.0
2405.0,3417.0,3417.0,2.0,3.0,114.42,54.0,1.42,2.43,4.8
7500.0,2712.0,1356.0,2.0,1.0,100.0,48.0,0.36,0.9,2.0
5000.0,2139.0,2139.0,2.0,2.75,100.0,33.0,0.43,0.6,1.0
2500.0,2091.0,1394.0,1.0,2.0,100.0,36.0,0.84,0.6,1.0
2000.0,2120.0,2120.0,1.0,2.0,100.0,42.0,1.06,1.25,2.0
1800.0,1876.0,1296.0,1.0,2.0,100.0,36.0,1.04,0.9,2.0
2100.0,1932.0,1932.0,1.0,2.0,100.0,46.0,0.92,2.43,4.8
1851.0,3900.0,3900.0,1.0,3.0,86.5,60.0,2.11,2.43,4.8
1575.0,1152.0,1152.0,1.0,2.0,87.5,32.0,0.73,2.43,4.8
2000.0,2310.0,1680.0,1.0,2.0,80.0,40.0,1.16,1.25,2.0
1750.0,1782.0,1296.0,1.0,2.0,100.0,37.0,1.02,0.9,2.0
1970.0,1485.0,1080.0,1.0,2.0,109.42,32.0,0.75,0.9,2.0
2625.0,1512.0,1008.0,1.0,2.0,100.0,28.0,0.58,0.9,2.0
4000.0,1330.0,1330.0,1.0,2.5,100.0,36.0,0.33,0.9,2.0
2479.0,2724.0,2043.0,1.0,3.0,99.17,50.0,1.1,2.43,4.8
1800.0,1764.0,1224.0,1.0,2.0,100.0,34.0,0.98,0.9,2.0
2575.0,2352.0,2352.0,2.0,2.0,103.0,56.0,0.91,1.25,2.0
2338.0,1364.0,1364.0,2.0,2.0,92.0,38.0,0.58,0.9,2.0
2000.0,2160.0,2160.0,1.0,3.0,100.0,36.0,1.08,3.44,4.8
10205.0,34400.0,34400.0,1.0,6.0,35.56,111.17,3.37,3.44,4.8
16226.0,72000.0,71000.0,1.0,6.0,85.63,72.0,4.44,3.44,4.8
2408.0,3250.0,2600.0,1.0,2.0,96.33,67.5,1.35,3.44,4.8
2000.0,1400.0,1400.0,1.0,2.0,100.0,33.0,0.7,0.6,1.0
1593.0,2490.0,2490.0,1.0,3.0,79.67,43.0,1.56,2.43,4.8
3767.0,2856.0,2208.0,1.0,2.0,100.67,46.0,0.76,0.9,2.0
2500.0,1258.0,1258.0,1.0,2.0,100.0,34.0,0.5,0.6,1.0
4608.0,1644.0,1644.0,1.0,2.5,87.5,30.0,0.36,0.9,2.0
2500.0,2052.0,1368.0,1.0,2.0,100.0,36.0,0.82,1.25,2.0
3033.0,2770.0,2770.0,1.0,3.0,100.0,50.0,0.91,1.25,2.0
13500.0,31098.0,31098.0,1.0,6.0,141.25,71.0,2.3,3.0,3.0
3550.0,2148.0,2148.0,1.0,2.5,80.17,33.0,0.61,2.43,4.8
2500.0,3720.0,2464.0,1.0,2.0,100.0,55.0,1.49,1.25,2.0
5450.0,3720.0,2480.0,2.0,2.0,109.0,60.0,0.68,0.9,2.0
2359.0,1900.0,1900.0,1.0,2.0,122.57,50.0,0.81,1.25,2.0
2500.0,3321.0,3321.0,1.0,2.0,100.0,81.0,1.33,2.43,4.8
4009.0,3321.0,3321.0,1.0,2.0,143.17,81.0,0.83,0.9,2.0
2856.0,2738.0,1792.0,2.0,2.0,114.25,42.0,0.96,1.25,2.0
2936.0,2220.0,1400.0,1.0,2.0,103.0,35.0,0.76,1.25,2.0
2056.0,2347.0,2347.0,1.0,3.0,101.16,38.5,1.14,2.43,4.8
7671.0,2011.0,2011.0,1.0,2.5,154.01,29.0,0.26,0.5,1.0
3100.0,3320.0,3320.0,1.0,2.0,124.0,83.0,1.07,3.44,4.8
1667.0,2604.0,1736.0,1.0,2.0,100.0,52.0,1.56,2.43,4.8
1781.0,2466.0,1584.0,1.0,2.0,71.25,39.0,1.38,0.6,1.0
2538.0,2450.0,1225.0,1.0,1.0,101.5,53.0,0.97,0.9,2.0
